Name,Ratings,Votes
Breaking Bad,9.5,2.2M
Planet Earth II,9.5,160K
Planet Earth,9.4,222K
Band of Brothers,9.4,537K
Chernobyl,9.3,886K
The Wire,9.3,384K
Avatar: The Last Airbender,9.3,382K
Blue Planet II,9.3,48K
The Sopranos,9.2,485K
Cosmos: A Spacetime Odyssey,9.2,130K
Cosmos,9.3,45K
Our Planet,9.3,53K
Game of Thrones,9.2,2.3M
Bluey,9.4,31K
The World at War,9.2,30K
Fullmetal Alchemist: Brotherhood,9.1,203K
Rick and Morty,9.1,615K
Life,9.1,43K
The Last Dance,9.1,156K
The Twilight Zone,9.1,95K
The Vietnam War,9.1,28K
Sherlock,9.1,1M
Attack on Titan,9.1,538K
Batman: The Animated Series,9.0,120K
The Office,9.0,730K
The Blue Planet,9.0,43K
Better Call Saul,9.0,668K
Arcane,9.0,283K
Scam 1992: The Harshad Mehta Story,9.2,159K
Clarkson's Farm,9.0,63K
Human Planet,9.0,28K
Frozen Planet,9.0,33K
Firefly,8.9,284K
Hunter x Hunter,9.0,142K
Only Fools and Horses,9.0,57K
The Civil War,9.0,19K
Death Note,8.9,390K
Seinfeld,8.9,356K
Dekalog,8.9,28K
Gravity Falls,8.9,141K
The Beatles: Get Back,8.9,29K
True Detective,8.9,667K
Cowboy Bebop,8.9,142K
Fargo,8.9,428K
Persona,9.0,48K
Nathan for You,8.9,39K
As If,9.0,24K
Taskmaster,9.0,21K
Apocalypse: The Second World War,9.0,15K
When They See Us,8.8,140K
Last Week Tonight with John Oliver,8.8,97K
Africa,8.9,17K
Friends,8.9,1.1M
Succession,8.8,284K
It's Always Sunny in Philadelphia,8.8,255K
TVF Pitchers,9.1,73K
The West Wing,8.9,87K
Monty Python's Flying Circus,8.8,79K
Curb Your Enthusiasm,8.8,150K
Das Boot,8.8,34K
One Piece,9.0,252K
Frieren: Beyond Journey's End,8.9,22K
BoJack Horseman,8.8,194K
Fawlty Towers,8.8,101K
Leyla and Mecnun,9.1,97K
Pride and Prejudice,8.8,93K
Freaks and Geeks,8.8,155K
Blackadder Goes Forth,8.8,57K
Dragon Ball Z,8.8,151K
X-Men '97,8.8,33K
Twin Peaks,8.8,218K
Dragon Ball Z,8.8,89K
Narcos,8.8,478K
Chappelle's Show,8.8,73K
Panchayat,9.0,96K
Gullak,9.1,24K
"I, Claudius",8.8,20K
Black Mirror,8.7,650K
Kota Factory,9.0,85K
Vinland Saga,8.8,78K
South Park,8.7,410K
Over the Garden Wall,8.8,73K
Ted Lasso,8.8,361K
Reply 1988,9.1,13K
Bleach: Thousand-Year Blood War,9.0,38K
Peaky Blinders,8.8,667K
Six Feet Under,8.7,152K
Rome,8.7,188K
Oz,8.7,108K
Steins;Gate,8.8,76K
The Last of Us,8.7,555K
Dark,8.7,456K
Fleabag,8.7,209K
Berserk,8.7,56K
The Shield,8.7,89K
Blue Eye Samurai,8.7,74K
Downton Abbey,8.7,227K
Battlestar Galactica,8.7,178K
The Simpsons,8.7,440K
Severance,8.7,215K
The Boys,8.7,708K
Mad Men,8.7,264K
House,8.7,526K
Arrested Development,8.7,327K
Peep Show,8.7,67K
One Punch Man,8.7,190K
Star Trek: The Next Generation,8.7,138K
Invincible,8.7,215K
The Grand Tour,8.7,85K
The Adventures of Sherlock Holmes,8.7,25K
Justice League Unlimited,8.7,21K
Stranger Things,8.7,1.4M
The Marvelous Mrs,8.7,145K
Naruto: Shippuden,8.7,177K
Friday Night Lights,8.7,73K
Mahabharat,8.9,24K
Monster,8.7,48K
Line of Duty,8.7,72K
Behzat Ç: An Ankara Detective Story,8.9,33K
Top Gear,8.7,128K
1883,8.7,120K
Shōgun,8.7,161K
The Thick of It,8.7,27K
Sarabhai V/S Sarabhai,8.9,18K
How to with John Wilson,8.7,14K
The Mandalorian,8.6,599K
Aspirants,9.2,313K
This Is Us,8.7,162K
Father Ted,8.7,44K
House of Cards,8.6,535K
Atlanta,8.6,90K
Code Geass,8.7,83K
Parks and Recreation,8.6,292K
Deadwood,8.6,119K
The X-Files,8.6,253K
The Crown,8.6,261K
Dexter,8.6,785K
Adventure Time,8.6,115K
Primal,8.7,22K
It's a Sin,8.6,37K
The Bridge,8.6,78K
Daredevil,8.6,480K
Ramayan,9.0,24K
Blackadder II,8.6,50K
Lonesome Dove,8.7,26K
The Jinx: The Life and Deaths of Robert Durst,8.6,54K
Mindhunter,8.6,345K
Haikyu!!,8.7,38K
Poirot,8.6,53K
Mr,8.6,136K
The Return of Sherlock Holmes,8.7,14K
The Offer,8.6,41K
Mr Inbetween,8.7,32K
Fighting Spirit,8.8,10K
Scavengers Reign,8.7,21K
Crash Landing on You,8.7,44K
Gomorrah,8.6,45K
Critical Role,9.1,13K
Pose,8.6,33K
Blackadder the Third,8.6,47K
Yes Minister,8.6,17K
Mystery Science Theater 3000,8.6,26K
Archer,8.6,168K
Anne with an E,8.6,68K
Demon Slayer: Kimetsu no Yaiba,8.6,162K
Yeh Meri Family,9.0,26K
Dopesick,8.6,80K
Greatest Events of WWII in Colour,8.6,11K
Young Justice,8.6,46K
The Newsroom,8.6,126K
Boardwalk Empire,8.6,205K
The Bear,8.6,237K
QI,8.6,34K
Yellowstone,8.7,231K
Justified,8.6,121K
El Chavo del Ocho,8.7,13K
Homicide: Life on the Street,8.7,14K
The Bugs Bunny Show,8.6,36K
The Bureau,8.7,15K
What We Do in the Shadows,8.6,106K
The Haunting of Hill House,8.5,294K
Dragon Ball,8.5,68K
Justice League,8.6,52K
The Family Man,8.7,100K
The Venture Bros,8.6,28K
Battlestar Galactica,8.5,81K
Dragon Ball,8.5,66K
The Queen's Gambit,8.5,571K
Flight of the Conchords,8.5,67K
Endeavour,8.6,34K
Jujutsu Kaisen,8.6,127K
"Yes, Prime Minister",8.6,13K
Making a Murderer,8.5,104K
Samurai Champloo,8.5,56K
Coupling,8.6,48K
Rocket Boys,8.9,18K
The IT Crowd,8.5,166K
Mr,8.5,424K
Impractical Jokers,8.6,47K
Ezel,8.7,38K
Black Sun,8.8,13K
Spaced,8.5,58K
I'm Alan Partridge,8.6,22K
The Eric Andre Show,8.6,22K
Samurai Jack,8.5,61K
Detectorists,8.6,22K
Long Way Round,8.6,15K
Happy Valley,8.5,66K
Mob Psycho 100,8.6,48K
Spartacus,8.5,260K
Whose Line Is It Anyway?,8.5,47K
Louie,8.5,83K
Sons of Anarchy,8.6,328K
Through the Wormhole,8.6,19K
The Office,8.5,124K
Derry Girls,8.5,62K
Neon Genesis Evangelion,8.5,88K
Regular Show,8.5,60K
Formula 1: Drive to Survive,8.5,52K
Twin Peaks,8.5,77K
Trailer Park Boys,8.5,52K
Spartacus: Gods of the Arena,8.5,147K
Shameless,8.5,293K
Skam,8.6,39K
Brass Eye,8.6,12K
North & South,8.6,35K
Schitt's Creek,8.5,149K
Heartstopper,8.6,79K
Silicon Valley,8.5,168K
Futurama,8.5,264K
Fullmetal Alchemist,8.5,79K
Doctor Who,8.5,251K
Rurouni Kenshin: Trust and Betrayal,8.6,16K
The Expanse,8.5,175K
Hannibal,8.5,280K
Extraordinary Attorney Woo,8.6,28K
Letterkenny,8.6,30K
From the Earth to the Moon,8.6,13K
My Brilliant Friend,8.6,18K
Alchemy of Souls,8.7,19K
Avrupa Yakasi,8.6,22K
Wentworth,8.6,25K
Tash ma Tash,9.0,10K
Umbre,8.7,12K
The Rehearsal,8.5,27K
Your Lie in April,8.5,39K
Westworld,8.5,538K
Community,8.5,297K
Gintama,8.7,16K
Tear Along the Dotted Line,8.6,15K
